epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.328,2.20809,3.80155,2.15829,0.12897,0.14829,0.0659,0.02092,2.27284,3.03652,2.33279,0.000662921,0.000662921,0.000662921
2,560.759,2.02196,2.8891,2.16373,0.09364,0.27428,0.06713,0.02107,1.90642,3.93815,2.38064,0.00128571,0.00128571,0.00128571
3,840.905,1.96012,2.84427,2.15248,0.04675,0.68635,0.0923,0.02908,2.13344,2.79008,2.29373,0.0018645,0.0018645,0.0018645
4,1121.36,1.92776,2.74701,2.11599,0.16678,0.17585,0.10512,0.02831,1.77112,3.10675,2.52096,0.001802,0.001802,0.001802
5,1401.45,1.90043,2.65543,2.15507,0.22145,0.34908,0.18649,0.06847,1.85093,2.54501,2.08075,0.001736,0.001736,0.001736
6,1681.94,1.8677,2.5655,2.12336,0.19241,0.35827,0.16935,0.06035,1.87639,2.51373,2.08875,0.00167,0.00167,0.00167
7,1962.3,1.8312,2.49024,2.07922,0.17937,0.28346,0.14515,0.04772,1.95643,2.69975,2.31502,0.001604,0.001604,0.001604
8,2242.18,1.79626,2.46917,2.06125,0.30119,0.33727,0.2397,0.10165,1.82448,2.42598,2.17155,0.001538,0.001538,0.001538
9,2522.23,1.75547,2.39295,2.01983,0.24069,0.37664,0.20463,0.07896,1.77057,2.41627,2.13615,0.001472,0.001472,0.001472
10,2802.24,1.76342,2.36589,2.03308,0.30256,0.3832,0.24911,0.1098,1.68091,2.36021,2.0286,0.001406,0.001406,0.001406
11,3082.25,1.72464,2.28426,1.99925,0.30787,0.41732,0.28861,0.12859,1.71191,2.14668,2.00446,0.00134,0.00134,0.00134
12,3361.89,1.7302,2.2664,1.97867,0.33037,0.45144,0.31093,0.14621,1.64441,2.04799,1.95177,0.001274,0.001274,0.001274
13,3641.51,1.67495,2.20536,1.9555,0.3051,0.45801,0.28866,0.1342,1.62579,2.12485,1.93228,0.001208,0.001208,0.001208
14,3920.98,1.67019,2.22093,1.95107,0.28088,0.41076,0.25574,0.11607,1.68729,2.18312,2.00553,0.001142,0.001142,0.001142
15,4200.88,1.66301,2.12739,1.93396,0.32811,0.47769,0.32376,0.15532,1.61144,1.98048,1.88207,0.001076,0.001076,0.001076
16,4480.99,1.625,2.10452,1.9011,0.30857,0.44357,0.30288,0.13854,1.64196,2.07142,1.98328,0.00101,0.00101,0.00101
17,4760.53,1.59898,2.06308,1.88495,0.37209,0.49475,0.37364,0.18314,1.54562,1.87822,1.84314,0.000944,0.000944,0.000944
18,5040.09,1.59337,2.04445,1.87711,0.36497,0.48425,0.36682,0.18393,1.68837,1.84228,1.89677,0.000878,0.000878,0.000878
19,5319.68,1.57124,2.00652,1.85334,0.37962,0.51154,0.3922,0.20715,1.53522,1.84027,1.83745,0.000812,0.000812,0.000812
20,5599.88,1.54827,1.9357,1.83176,0.40956,0.54462,0.41835,0.21411,1.53573,1.74963,1.85665,0.000746,0.000746,0.000746
21,5880.43,1.5021,1.73338,1.88315,0.38837,0.57743,0.4095,0.22576,1.45905,1.6991,1.79527,0.00068,0.00068,0.00068
22,6159.5,1.44064,1.66293,1.83273,0.41249,0.54724,0.41045,0.21838,1.50329,1.70735,1.81811,0.000614,0.000614,0.000614
23,6438.52,1.41365,1.59671,1.80702,0.40778,0.58661,0.46549,0.26071,1.43677,1.60399,1.73712,0.000548,0.000548,0.000548
24,6717.83,1.37787,1.52095,1.78723,0.43025,0.54068,0.45112,0.25435,1.44226,1.628,1.7667,0.000482,0.000482,0.000482
25,6997.81,1.33028,1.46349,1.73335,0.46342,0.6063,0.52063,0.3046,1.36456,1.46962,1.70664,0.000416,0.000416,0.000416
26,7276.48,1.32878,1.43147,1.72174,0.52076,0.56693,0.53482,0.30651,1.40556,1.47586,1.70096,0.00035,0.00035,0.00035
27,7555.66,1.26388,1.35846,1.67786,0.50613,0.5853,0.54531,0.32806,1.35111,1.40543,1.66284,0.000284,0.000284,0.000284
28,7834.72,1.24848,1.31887,1.6609,0.48453,0.64829,0.56057,0.34155,1.29888,1.36677,1.61804,0.000218,0.000218,0.000218
29,8114.31,1.21553,1.28726,1.63308,0.53125,0.63517,0.5822,0.35484,1.32507,1.33986,1.6219,0.000152,0.000152,0.000152
30,8393.62,1.18584,1.24945,1.59623,0.53017,0.63529,0.58304,0.36458,1.2697,1.33044,1.59025,8.6e-05,8.6e-05,8.6e-05
