epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,596.709,2.12483,3.41892,2.13107,0.13453,0.22563,0.09238,0.02684,2.14765,3.83917,2.26185,0.000664894,0.000664894,0.000664894
2,1192.61,1.93771,2.76246,2.15267,0.18795,0.29123,0.14208,0.04692,2.07857,2.75275,2.30398,0.00128762,0.00128762,0.00128762
3,1791.18,1.91219,2.67414,2.15342,0.12984,0.2477,0.09237,0.03066,2.05201,3.1097,2.20232,0.00186634,0.00186634,0.00186634
4,2394.2,1.86181,2.56817,2.12283,0.247,0.355,0.19875,0.07665,1.77482,2.47932,2.06251,0.001802,0.001802,0.001802
5,2992.53,1.81874,2.45985,2.07566,0.28074,0.38872,0.24066,0.09715,1.78607,2.37363,2.06168,0.001736,0.001736,0.001736
6,3587.62,1.77521,2.36075,2.0359,0.33297,0.41815,0.29086,0.11323,1.75295,2.21125,2.03666,0.00167,0.00167,0.00167
7,4187.1,1.73309,2.30288,2.00465,0.34059,0.4114,0.30332,0.13058,1.72705,2.16816,1.98498,0.001604,0.001604,0.001604
8,4820.4,1.71055,2.24287,1.98187,0.34318,0.43838,0.32322,0.13763,1.71177,2.04918,1.98218,0.001538,0.001538,0.001538
9,5459.32,1.68827,2.19343,1.97113,0.32835,0.43225,0.31066,0.13244,1.65823,2.1869,1.99677,0.001472,0.001472,0.001472
10,6098.63,1.6675,2.15311,1.94364,0.38295,0.49295,0.37751,0.17142,1.67288,1.87437,1.89624,0.001406,0.001406,0.001406
11,6738.69,1.64516,2.09981,1.92122,0.37563,0.49234,0.37894,0.17833,1.59806,1.87991,1.88826,0.00134,0.00134,0.00134
12,7391.18,1.62015,2.0583,1.89094,0.39763,0.50889,0.39934,0.19095,1.58037,1.82188,1.84593,0.001274,0.001274,0.001274
13,8032.29,1.58961,2.02289,1.88351,0.387,0.52115,0.38407,0.17666,1.60938,1.78722,1.90426,0.001208,0.001208,0.001208
14,8659.23,1.57422,1.97824,1.85725,0.40958,0.5087,0.40438,0.20027,1.58852,1.79168,1.86056,0.001142,0.001142,0.001142
15,9282.04,1.54212,1.93857,1.84107,0.39651,0.54629,0.42898,0.21729,1.54439,1.71557,1.81004,0.001076,0.001076,0.001076
16,9891.02,1.5317,1.89394,1.83263,0.43092,0.54874,0.44471,0.23325,1.47107,1.68316,1.81231,0.00101,0.00101,0.00101
17,10506.8,1.49481,1.85074,1.80072,0.42516,0.51134,0.43123,0.22413,1.47682,1.66979,1.77223,0.000944,0.000944,0.000944
18,11131.4,1.48758,1.83116,1.78987,0.41258,0.5702,0.46136,0.25086,1.45709,1.60388,1.72288,0.000878,0.000878,0.000878
19,11797.2,1.45615,1.78194,1.75394,0.4477,0.54936,0.48458,0.26974,1.40573,1.59132,1.68723,0.000812,0.000812,0.000812
